DAY_DATE,DIRECTION,SPX_TR,,
12/13/00,FWD,-0.014,,
12/14/00,FWD,-0.0215,,
12/15/00,FWD,0.0081,,
12/18/00,FWD,-0.0129,,
12/19/00,FWD,-0.0312,,
12/20/00,FWD,0.008,,
12/21/00,FWD,0.0244,,
12/22/00,FWD,0.0071,,
12/26/00,FWD,0.0107,,
12/27/00,FWD,0.004,,
12/28/00,FWD,-0.0104,,
12/29/00,FWD,-0.028,,
1/2/01,FWD,0.0502,,
1/3/01,FWD,-0.0105,,
1/4/01,FWD,-0.0262,,
1/5/01,FWD,-0.0017,,
1/8/01,FWD,0.0038,,
1/9/01,FWD,0.0097,,
1/10/01,FWD,0.0103,,
1/11/01,FWD,-0.0064,,
1/12/01,FWD,0.0063,,
1/16/01,FWD,0.0022,,
1/17/01,FWD,0.0139,,
1/18/01,FWD,-0.004,,
1/19/01,FWD,0.0003,,
1/22/01,FWD,0.013,,
1/23/01,FWD,0.0029,,
1/24/01,FWD,-0.005,,
1/25/01,FWD,-0.0018,,
1/26/01,FWD,0.0069,,
1/29/01,FWD,0.007,,
1/30/01,FWD,-0.0055,,
1/31/01,FWD,0.0056,,
2/1/01,FWD,-0.0175,,
2/2/01,FWD,0.0036,,
2/5/01,FWD,-0.0015,,
2/6/01,FWD,-0.0082,,
2/7/01,FWD,-0.0062,,
2/8/01,FWD,-0.0133,,
2/9/01,FWD,0.0118,,
2/12/01,FWD,-0.0086,,
2/13/01,FWD,-0.002,,
2/14/01,FWD,0.0082,,
2/15/01,FWD,-0.0189,,
2/16/01,FWD,-0.0173,,
2/20/01,FWD,-0.0184,,
2/21/01,FWD,-0.0019,,
2/22/01,FWD,-0.0055,,
2/23/01,FWD,0.0175,,
2/26/01,FWD,-0.0076,,
2/27/01,FWD,-0.0141,,
2/28/01,FWD,0.0011,,
3/1/01,FWD,-0.0057,,
3/2/01,FWD,0.006,,
3/5/01,FWD,0.01,,
3/6/01,FWD,0.0066,,
3/7/01,FWD,0.0023,,
3/8/01,FWD,-0.0248,,
3/9/01,FWD,-0.0432,,
3/12/01,FWD,0.015,,
3/13/01,FWD,-0.0258,,
3/14/01,FWD,0.0059,,
3/15/01,FWD,-0.0196,,
3/16/01,FWD,0.0176,,
3/19/01,FWD,-0.0241,,
3/20/01,FWD,-0.0179,,
3/21/01,FWD,-0.004,,
3/22/01,FWD,0.0199,,
3/23/01,FWD,0.0113,,
3/26/01,FWD,0.0256,,
3/27/01,FWD,-0.0243,,
3/28/01,FWD,-0.0046,,
3/29/01,FWD,0.0108,,
3/30/01,FWD,-0.0125,,
4/2/01,FWD,-0.0344,,
