DAY_DATE,AUD_EXCH_RATE,BRL_EXCH_RATE,CAD_EXCH_RATE,CHF_EXCH_RATE,EUR_EXCH_RATE,GBP_EXCH_RATE,JPY_EXCH_RATE,MXN_EXCH_RATE,USD_EXCH_RATE
8/20/00,1.693480102,1.8117,1.4747,1.7235,1.0916,0.67136623,108.43,9.25,1
8/21/00,1.697792869,1.817,1.4765,1.7275,1.1051,0.67114094,108.53,9.261,1
8/22/00,1.723543606,1.8224,1.4756,1.7405,1.1115,0.675812665,108.34,9.239,1
8/23/00,1.75192712,1.817,1.4877,1.7282,1.1172,0.675082698,107.02,9.273,1
8/24/00,1.746724891,1.823,1.4871,1.7117,1.1086,0.675401864,106.89,9.244,1
8/25/00,1.743071292,1.8204,1.4828,1.7095,1.1068,0.678195999,107.17,9.232,1
8/26/00,1.743071292,1.8204,1.4828,1.7095,1.1068,0.678195999,107.17,9.232,1
8/27/00,1.743071292,1.8204,1.4828,1.7095,1.1068,0.678195999,107.17,9.232,1
8/28/00,1.749781277,1.825,1.4845,1.713,1.1079,0.679532482,106.45,9.213,1
8/29/00,1.750393839,1.832,1.4868,1.7238,1.109,0.684181719,106.2,9.233,1
8/30/00,1.748251748,1.828,1.4805,1.736,1.1242,0.686813187,106.47,9.214,1
8/31/00,1.734906315,1.824,1.472,1.7425,1.1162,0.688942473,106.66,9.2,1
9/1/00,1.734605377,1.8228,1.4742,1.723,1.1228,0.684697022,105.78,9.208,1
9/2/00,1.734605377,1.8228,1.4742,1.723,1.1228,0.684697022,105.78,9.208,1
9/3/00,1.734605377,1.8228,1.4742,1.723,1.1228,0.684697022,105.78,9.208,1
9/4/00,1.734605377,1.824,1.4742,1.723,1.1091,0.684697022,105.78,9.208,1
9/5/00,1.754693806,1.827,1.4752,1.7488,1.1197,0.688610384,105.88,9.255,1
9/6/00,1.768346596,1.823,1.4843,1.778,1.1311,0.691802145,106.08,9.318,1
9/7/00,1.79243592,1.8214,1.4777,1.772,1.1531,0.695410292,105.1,9.314,1
9/8/00,1.799532122,1.82,1.4781,1.7869,1.1455,0.704423781,106.03,9.327,1
9/9/00,1.799532122,1.82,1.4781,1.7869,1.1455,0.704423781,106.03,9.327,1
9/10/00,1.799532122,1.82,1.4781,1.7869,1.1455,0.704423781,106.03,9.327,1
9/11/00,1.788908766,1.818,1.48,1.7715,1.1627,0.708064859,105.97,9.283,1
9/12/00,1.79018976,1.8227,1.4825,1.771,1.1596,0.713266762,106.93,9.251,1
9/13/00,1.801801802,1.8299,1.4838,1.7635,1.1547,0.707964602,107.11,9.283,1
9/14/00,1.821493625,1.832,1.4869,1.7736,1.1485,0.711237553,107.25,9.307,1
9/15/00,1.834862385,1.839,1.4844,1.7805,1.1541,0.714030703,107.33,9.361,1
9/16/00,1.834862385,1.839,1.4844,1.7805,1.1541,0.714030703,107.33,9.361,1
9/17/00,1.834862385,1.839,1.4844,1.7805,1.1541,0.714030703,107.33,9.361,1
9/18/00,1.846040244,1.844,1.4905,1.787,1.1677,0.713521227,106.87,9.423,1
9/19/00,1.84501845,1.8574,1.488,1.7765,1.1719,0.710227273,107.02,9.422,1
9/20/00,1.861504095,1.852,1.4833,1.7845,1.1811,0.708867938,106.77,9.456,1
9/21/00,1.842299189,1.856,1.4873,1.7715,1.1736,0.700280112,106.5,9.436,1
9/22/00,1.833180568,1.856,1.4892,1.7295,1.159,0.686436024,107.94,9.475,1
9/23/00,1.833180568,1.856,1.4892,1.7295,1.159,0.686436024,107.94,9.475,1
9/24/00,1.833180568,1.856,1.4892,1.7295,1.159,0.686436024,107.94,9.475,1
9/25/00,1.821493625,1.844,1.489,1.739,1.1369,0.687757909,107.63,9.428,1
9/26/00,1.816200509,1.847,1.488,1.7279,1.1377,0.684931507,107.63,9.404,1
9/27/00,1.814882033,1.851,1.4962,1.7325,1.1256,0.684603272,107.44,9.415,1
9/28/00,1.821493625,1.849,1.503,1.7288,1.1278,0.683293475,107.59,9.426,1
9/29/00,1.846722068,1.844,1.507,1.7265,1.1352,0.676269696,107.9,9.44,1
9/30/00,1.846722068,1.844,1.507,1.7265,1.1352,0.676269696,107.9,9.44,1
10/1/00,1.846722068,1.844,1.507,1.7265,1.1352,0.676269696,107.9,9.44,1
10/2/00,1.834862385,1.844,1.5108,1.7322,1.1319,0.681431005,108.81,9.408,1
10/3/00,1.851851852,1.853,1.506,1.7365,1.1395,0.686577412,108.66,9.399,1
10/4/00,1.863932898,1.853,1.499,1.7395,1.1419,0.686907542,109.29,9.44,1
10/5/00,1.869158879,1.8522,1.4954,1.7491,1.1443,0.689560061,109.3,9.458,1
10/6/00,1.873009927,1.8522,1.5013,1.7515,1.1431,0.692281066,108.81,9.466,1
10/7/00,1.873009927,1.8522,1.5013,1.7515,1.1431,0.692281066,108.81,9.466,1
10/8/00,1.873009927,1.8522,1.5013,1.7515,1.1431,0.692281066,108.81,9.466,1
10/9/00,1.873009927,1.856,1.5013,1.7515,1.1486,0.692281066,108.81,9.466,1
10/10/00,1.873009927,1.854,1.5014,1.7515,1.1435,0.690417012,107.9,9.465,1
10/11/00,1.865671642,1.86,1.5043,1.7328,1.1439,0.683994528,107.63,9.48,1
10/12/00,1.879699248,1.862,1.5085,1.7415,1.1541,0.678656261,107.58,9.52,1
10/13/00,1.887861053,1.862,1.5135,1.7595,1.1547,0.685072275,107.67,9.595,1
10/14/00,1.887861053,1.862,1.5135,1.7595,1.1547,0.685072275,107.67,9.595,1
10/15/00,1.887861053,1.862,1.5135,1.7595,1.1547,0.685072275,107.67,9.595,1
