Date,Equity
2024-06-13,100019.95080737874
2024-06-14,100025.08303194099
2024-06-17,100025.2887580595
2024-06-18,100024.10914398705
2024-06-20,100024.76109722407
2024-06-21,100025.20676019751
2024-06-24,100027.03031661712
2024-06-25,100027.98734547404
2024-06-26,100027.18594642398
2024-06-27,100025.15109010843
2024-06-28,100024.67963813167
2024-07-01,100024.5600099782
2024-07-02,100024.19508334812
2024-07-03,100023.98227370362
2024-07-05,100024.38676466126
2024-07-08,100024.28787481622
2024-07-09,100025.34309612418
2024-07-10,100027.1112920243
2024-07-11,100027.42976626697
2024-07-12,100026.00579219239
2024-07-15,100026.51972419178
2024-07-16,100026.06198968229
2024-07-17,100026.92954083689
2024-07-18,100025.33876628063
2024-07-19,100024.17067037594
2024-07-22,100024.36114539352
2024-07-23,100024.33362785
2024-07-24,100023.7311595267
2024-07-25,100023.54450992751
2024-07-26,100023.03018730255
2024-07-29,100023.19227092179
2024-07-30,100022.2247597291
2024-07-31,100021.24052766793
2024-08-01,100021.28016168406
2024-08-02,100016.7055742383
2024-08-05,100020.14121861814
2024-08-06,100007.5904568726
2024-08-07,100007.53586059724
2024-08-08,100008.30422257606
2024-08-09,100016.28036923286
2024-08-12,100017.10442007399
2024-08-13,100015.11614367602
2024-08-14,100016.64288169764
2024-08-15,100018.5023133736
2024-08-16,100021.47889608114
2024-08-19,100020.83911859701
2024-08-20,100019.60551589659
2024-08-21,100011.52785086258
2024-08-22,100006.75254418954
2024-08-23,100002.94734999888
2024-08-26,100006.53224486891
2024-08-27,100005.54193092637
2024-08-28,99999.54256745132
2024-08-29,100001.31020748733
2024-08-30,99997.8041619866
2024-09-03,99999.15211172045
2024-09-04,99999.35895983927
2024-09-05,99995.8118022057
2024-09-06,99998.33735653872
2024-09-09,99997.41533607742
2024-09-10,99999.08115620934
2024-09-11,99994.00112389473
2024-09-12,99999.40649254917
2024-09-13,100004.30187717716
2024-09-16,100011.56032133583
2024-09-17,100011.81831832857
